"SNF BRASIL COMERCIAL QUÍMICA
EIRELI","SNF BRASIL COMERCIAL QUÍMICA
EIRELI","SNF BRASIL COMERCIAL QUÍMICA
EIRELI",00.934.286/0001-82,17/11/2021,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
"SNF BRASIL COMERCIAL QUÍMICA
EIRELI","SNF BRASIL COMERCIAL QUÍMICA
EIRELI","SNF BRASIL COMERCIAL QUÍMICA
EIRELI",00.934.286/0001-82,24/08/2022,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
TELAR ENGENHARIA E COMÉRCIO S.A,TELAR ENGENHARIA E COMÉRCIO S.A,TELAR ENGENHARIA E COMÉRCIO S.A,62.570.320/0001-34,23/01/2023,COMPANHIA IMOBILIÁRIA DE BRASÍLIA,26/06/2023,Regular,Lei no 6.112/2018
TELTRONIC BRASIL LTDA,TELTRONIC BRASIL LTDA,TELTRONIC BRASIL LTDA,03.316.088/0001-43,14/10/2022,POLÍCIA CIVIL DO DISTRITO FEDERAL,13/09/2023,Regular,Lei no 6.112/2018
"TITO COMÉRCIO DE BOMBAS E
ACESSÓRIOS LTDA","TITO COMÉRCIO DE BOMBAS E
ACESSÓRIOS LTDA","TITO COMÉRCIO DE BOMBAS E
ACESSÓRIOS LTDA",00.709.920/0001-83,21/03/20223,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
EMPRESA,NOME FANTASIA,RAZÃO SOCIAL,CNPJ,"DATA DE
APRESENTAÇÃO
DO PROGRAMA",ÓRGÃO CONTRATANTE,"DATA DA
AVALIAÇÃO",RESULTADO,"LEGISLAÇÃO
APLICADA"
TRIER ENGENHARIA S/A,TRIER ENGENHARIA S/A,TRIER ENGENHARIA S/A,10.441.611/0001-29,16/01/2023,COMPANHIA IMOBILIÁRIA DE BRASÍLIA,02/06/2023,Regular,Lei no 6.112/2018
TRIER ENGENHARIA S/A,TRIER ENGENHARIA S/A,TRIER ENGENHARIA S/A,10.441.611/0001-29,23/01/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"TRIUNFO COMÉRCIO E IMPORTAÇÃO
LTDA","TRIUNFO COMÉRCIO E IMPORTAÇÃO
LTDA","TRIUNFO COMÉRCIO E IMPORTAÇÃO
LTDA",11.548.931/0006-50,30/03/2023,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
TVA CONSTRUÇÃO EIRELI,TVA CONSTRUÇÃO EIRELI,TVA CONSTRUÇÃO EIRELI,09.366.582/0001-07,11/01/2023,COMPANHIA IMOBILIÁRIA DE BRASÍLIA,02/06/2023,Regular,Lei no 6.112/2018
VALOR AMBIENTAL LTDA,VALOR AMBIENTAL LTDA,VALOR AMBIENTAL LTDA,07.026.299/0001-00,17/09/2020,SERVIÇO DE LIMPEZA URBANA,11/07/2023,Regular,Lei no 6.112/2018
VIA ENGENHARIA S/A,VIA ENGENHARIA S/A,VIA ENGENHARIA S/A,00.584.755/0001-80,06/02/2023,"COMPANHIA DO METROPOLITANO DO
DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
"VIP SERVICE CLUB LOCADORA E
SERVIÇOS LTDA","VIP SERVICE CLUB LOCADORA E
SERVIÇOS LTDA","VIP SERVICE CLUB LOCADORA E
SERVIÇOS LTDA",02.605.452/0001-22,08/02/2021,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
"VIP SERVICE CLUB LOCADORA E
SERVIÇOS LTDA","VIP SERVICE CLUB LOCADORA E
SERVIÇOS LTDA","VIP SERVICE CLUB LOCADORA E
SERVIÇOS LTDA",02.605.452/0001-22,23/01/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"WATSON-MARLOW BREDEL INDUSTRIA
E COMéRCIO DE BOMBAS LTDA","WATSON-MARLOW BREDEL INDUSTRIA
E COMéRCIO DE BOMBAS LTDA","WATSON-MARLOW BREDEL INDUSTRIA
E COMéRCIO DE BOMBAS LTDA",07.910.191/0001-78,06/10/2021,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
"WF CONSTRUÇÕES E INCORPORAÇÕES
EIRELI","WF CONSTRUÇÕES E INCORPORAÇÕES
EIRELI","WF CONSTRUÇÕES E INCORPORAÇÕES
EIRELI",21.978.159/0001-55,24/02/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
